Event,Date,Symbol,Price,Quantity,Currency,FeeTax,Exchange,NKD,FeeCurrency,DoNotAdjustCash,Note
Buy,2024-01-01,LINK/USDT,15.114100000000000000,1.798000000000000000,LINK,0.00179800000000,ByBit,,,,
Buy,2024-01-01,LINK/USDT,15.114100000000000000,4.817000000000000000,LINK,0.00481700000000,ByBit,,,,
Buy,2024-01-01,ADA/USDT,0.597800000000000000,167.280000000000000000,ADA,0.167280000000000000,ByBit,,,,
Buy,2024-01-01,MATIC/USDT,0.983500000000000000,101.670000000000000000,MATIC,0.101670000000000000,ByBit,,,,
Buy,2024-01-01,ETH/USDT,2296.190000000000000000,0.087100000000000000,ETH,0.00008710000000,ByBit,,,,
Buy,2024-01-01,XRP/USDT,0.615900000000000000,62.220000000000000000,XRP,0.062220000000000000,ByBit,,,,
Buy,2024-01-01,XRP/USDT,0.615900000000000000,62.500000000000000000,XRP,0.062500000000000000,ByBit,,,,
Buy,2024-01-01,XRP/USDT,0.615900000000000000,200.000000000000000000,XRP,0.200000000000000000,ByBit,,,,
Buy,2024-01-01,ARB/USDT,1.573000000000000000,63.570000000000000000,ARB,0.063570000000000000,ByBit,,,,
Buy,2023-12-30,BTC/USDT,41685.000000000000000000,0.002398000000000000,BTC,0.0000023980000,ByBit,,,,
Buy,2023-12-29,BTC/USDT,42093.040000000000000000,0.007127000000000000,BTC,0.0000071270000,ByBit,,,,
Sell,2023-12-28,BTC/USDT,43254.990000000000000000,0.009569000000000000,BTC,0.4139069993100,ByBit,,,,
Sell,2023-12-28,BTC/USDT,43254.990000000000000000,0.004433000000000000,BTC,0.1917493706700,ByBit,,,,
Buy,2023-12-28,SOL/USDT,105.180000000000000000,14.615000000000000000,SOL,0.014615000000000000,ByBit,,,,
Sell,2023-12-28,ETH/USDT,2387.610000000000000000,0.110000000000000000,ETH,0.26263710000000,ByBit,,,,
Sell,2023-12-28,ETH/USDT,2387.610000000000000000,0.130850000000000000,ETH,0.31241876850000,ByBit,,,,
Sell,2023-12-28,MATIC/USDT,1.011200000000000000,325.100000000000000000,MATIC,0.328741120000000000,ByBit,,,,
Sell,2023-12-28,ADA/USDT,0.650600000000000000,911.880000000000000000,ADA,0.593269128000000000,ByBit,,,,
